file,cache_type,model,lambda,final_accuracy,final_discounted_accuracy,total_calls,cache_actual_size,normalized_accuracy,hit_ratio
summary_knn_lfu_lambda0.05.json,LFU,knn,0.05,0.8025974025974026,0.7659415584415585,2258,100,0.008025974025974027,
summary_knn_lfu_lambda0.1.json,LFU,knn,0.1,0.7301948051948052,0.6733766233766234,1750,100,0.007301948051948052,
summary_knn_lfu_lambda0.2.json,LFU,knn,0.2,0.6535714285714286,0.5677272727272727,1322,100,0.006535714285714286,
summary_knn_lfu_lambda0.3.json,LFU,knn,0.3,0.6198051948051948,0.5154870129870129,1071,100,0.006198051948051948,
summary_knn_lfu_lambda0.4.json,LFU,knn,0.4,0.620974025974026,0.5189999999999999,785,100,0.00620974025974026,
summary_knn_lfu_lambda0.5.json,LFU,knn,0.5,0.614090909090909,0.48902597402597403,770,100,0.00614090909090909,
summary_knn_lfu_lambda0.6.json,LFU,knn,0.6,0.6133766233766234,0.4647012987012987,763,100,0.0061337662337662335,
summary_knn_lru_lambda0.05.json,LRU,knn,0.05,0.8253246753246752,0.7928409090909091,2001,231,0.0035728340923146112,
summary_knn_lru_lambda0.1.json,LRU,knn,0.1,0.8155844155844157,0.7671428571428572,1492,231,0.0035306684657334013,
summary_knn_lru_lambda0.2.json,LRU,knn,0.2,0.8064935064935066,0.7301948051948052,1175,231,0.003491313880924271,
summary_knn_lru_lambda0.3.json,LRU,knn,0.3,0.7957792207792208,0.7182467532467532,796,231,0.0034449316916849385,
summary_knn_lru_lambda0.4.json,LRU,knn,0.4,0.5709090909090909,0.5387792207792208,247,231,0.0024714679260133808,
summary_knn_lru_lambda0.5.json,LRU,knn,0.5,0.46337662337662333,0.4302272727272728,204,231,0.002005959408556811,
summary_knn_lru_lambda0.6.json,LRU,knn,0.6,0.43720779220779227,0.4011298701298701,185,231,0.0018926744251419579,
summary_knn_simple_lambda0.05.json,Original,knn,0.05,0.8257142857142858,0.8101266233766233,960,1219,0.0006773702097738194,
summary_knn_simple_lambda0.1.json,Original,knn,0.1,0.8198701298701299,0.7976103896103897,685,914,0.0008970132711927023,
summary_knn_simple_lambda0.2.json,Original,knn,0.2,0.803961038961039,0.7696233766233765,528,740,0.0010864338364338364,
summary_knn_simple_lambda0.3.json,Original,knn,0.3,0.7999999999999999,0.7601623376623377,409,636,0.0012578616352201257,
summary_knn_simple_lambda0.4.json,Original,knn,0.4,0.7623376623376623,0.7404675324675325,168,402,0.001896362344123538,
summary_knn_simple_lambda0.5.json,Original,knn,0.5,0.76,0.7334090909090909,163,393,0.0019338422391857507,
